vi_text,en_text,domain
"cẩu tháp","tower crane","construction"
"giáo tiệp","scaffolding","construction"
"kích thủy lực","hydraulic jack","heavy machinery"
"bản vẽ thi công","construction drawing","engineering"
"đai ốc","nut (fastener)","mechanical"
"bu lông","bolt","mechanical"
"mối hàn","weld joint","metalworking"
"máy nén khí","air compressor","pneumatic"
"van an toàn","safety valve","industrial safety"
"bảng điều khiển","control panel","electrical"
"mạch điện","electrical circuit","electrical"
"công tắc áp lực","pressure switch","instrumentation"
"cảm biến nhiệt độ","temperature sensor","instrumentation"
"bơm nước","water pump","hydraulic"
"ống dẫn dầu","oil pipeline","hydraulic"
"dầu nhớt","lubricating oil","maintenance"
"bộ lọc dầu","oil filter","maintenance"
"cầu dao","circuit breaker","electrical"
"dây curoa","drive belt","mechanical"
"bánh răng","gear","mechanical"
"trục khuỷu","crankshaft","automotive"
"xi lanh","cylinder","hydraulic"
"piston","piston","mechanical"
"vòng bi","bearing","mechanical"
"má phanh","brake pad","automotive"
"lò xo","spring","mechanical"
"đệm cao su","rubber gasket","sealing"
"mặt bích","flange","piping"
"van một chiều","check valve","hydraulic"
"van điện từ","solenoid valve","automation"
"đường ray","rail track","transportation"
"máy hàn","welding machine","metalworking"
"mặt nạ hàn","welding mask","safety"
"thiết bị bảo hộ","personal protective equipment","safety"
"mũ bảo hiểm","hard hat","safety"
"dây an toàn","safety harness","safety"
"biển cảnh báo","warning sign","safety"
"khu vực nguy hiểm","hazard zone","safety"
"sơ đồ điện","electrical diagram","engineering"
"máy phát điện","generator","electrical"
"tải trọng","load capacity","structural"
"ứng suất","stress (mechanical)","structural"
"biến dạng","deformation","structural"
"độ bền","durability / tensile strength","materials"
"kim loại","metal","materials"
"hợp kim","alloy","materials"
"thép không gỉ","stainless steel","materials"
"nhôm","aluminum","materials"
"bê tông","concrete","construction"
"cốt thép","rebar / reinforcing steel","construction"
"móng","foundation","construction"
"dầm","beam","structural"
"cột","column / pillar","structural"
"sàn bê tông","concrete slab","construction"
"tường chắn đất","retaining wall","construction"
"máy xúc","excavator","heavy machinery"
